REF_DATE,GEO,Institution type,Registration status,International Standard Classification of Education (ISCED),Field of study,Gender,Status of student in Canada,VALUE
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Business, management and public administration [5]",Gender unknown,International students,0.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Male gender,Canadian students,63.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Male gender,International students,36.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,Canadian students,87.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Female gender,International students,42.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Gender unknown,Canadian students,6.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Physical and life sciences and technologies [6],Gender unknown,International students,3.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Male gender,Canadian students,21.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Male gender,International students,75.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Female gender,Canadian students,6.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Female gender,International students,51.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Mathematics, computer and information sciences [7]",Gender unknown,International students,9.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Male gender,Canadian students,30.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Male gender,International students,114.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Female gender,Canadian students,18.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Female gender,International students,66.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Architecture, engineering and related technologies [8]",Gender unknown,International students,6.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Male gender,Canadian students,9.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Male gender,International students,9.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Female gender,Canadian students,12.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Agriculture, natural resources and conservation [9]",Female gender,International students,15.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,Canadian students,36.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Male gender,International students,15.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,Canadian students,45.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Health and related fields [10],Female gender,International students,24.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Personal, protective and transportation services [11]",Male gender,Canadian students,6.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)","Personal, protective and transportation services [11]",Female gender,Canadian students,9.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Male gender,International students,30.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Female gender,International students,48.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Gender unknown,Canadian students,3.0
2018/2019,Ontario,University,Full-time student,"Not applicable, International Standard Classification of Education (ISCED)",Unclassified,Gender unknown,International students,3.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,Canadian students,177.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,Humanities [3],Male gender,International students,114.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,Canadian students,288.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,Humanities [3],Female gender,International students,99.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,Humanities [3],Gender unknown,Canadian students,33.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,Humanities [3],Gender unknown,International students,3.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,6.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Male gender,International students,12.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,0.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Female gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,0.0
2018/2019,Ontario,University,Part-time student,Post-secondary non-tertiary education,Other  [12],Male gender,International students,0.0
2018/2019,Ontario,University,Part-time student,Short-cycle tertiary education,Education [1],Male gender,Canadian students,0.0
2018/2019,Ontario,University,Part-time student,Short-cycle tertiary education,Education [1],Female gender,Canadian students,42.0
2018/2019,Ontario,University,Part-time student,Short-cycle tertiary education,Education [1],Gender unknown,Canadian students,6.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Personal improvement and leisure [0],Male gender,Canadian students,12.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Personal improvement and leisure [0],Male gender,International students,6.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Personal improvement and leisure [0],Female gender,Canadian students,18.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Personal improvement and leisure [0],Female gender,International students,9.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Education [1],Male gender,Canadian students,150.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Education [1],Male gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Education [1],Female gender,Canadian students,831.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Education [1],Female gender,International students,9.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Education [1],Gender unknown,Canadian students,15.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,867.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Male gender,International students,78.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,1560.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,132.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,48.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Visual and performing arts and communications technologies [2],Gender unknown,International students,0.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,Canadian students,4125.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Humanities [3],Male gender,International students,393.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,Canadian students,5016.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Humanities [3],Female gender,International students,306.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,Canadian students,105.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Humanities [3],Gender unknown,International students,6.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,3924.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,567.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,7044.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,549.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,90.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Social and behavioural sciences and law [4],Gender unknown,International students,15.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,5004.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Male gender,International students,690.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,4851.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Female gender,International students,624.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,Canadian students,117.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Business, management and public administration [5]",Gender unknown,International students,9.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,1644.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,201.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,1812.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,144.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Gender unknown,Canadian students,39.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Physical and life sciences and technologies [6],Gender unknown,International students,6.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,2199.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,561.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,600.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,165.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Gender unknown,Canadian students,27.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Mathematics, computer and information sciences [7]",Gender unknown,International students,12.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,4179.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,687.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,1506.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,231.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,39.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Architecture, engineering and related technologies [8]",Gender unknown,International students,3.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,210.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,33.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,303.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,24.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Agriculture, natural resources and conservation [9]",Gender unknown,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,Canadian students,963.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Male gender,International students,30.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,Canadian students,3027.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Female gender,International students,36.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Health and related fields [10],Gender unknown,Canadian students,90.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,360.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Male gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,258.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Female gender,International students,6.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,"Personal, protective and transportation services [11]",Gender unknown,Canadian students,0.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Other  [12],Male gender,Canadian students,234.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Other  [12],Male gender,International students,48.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Other  [12],Female gender,Canadian students,309.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Other  [12],Female gender,International students,36.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Other  [12],Gender unknown,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,Bachelor's or equivalent,Unclassified,Gender unknown,International students,0.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Education [1],Male gender,Canadian students,366.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Education [1],Male gender,International students,6.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Education [1],Female gender,Canadian students,1227.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Education [1],Female gender,International students,9.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Education [1],Gender unknown,Canadian students,18.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,36.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,51.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Visual and performing arts and communications technologies [2],Gender unknown,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Humanities [3],Male gender,Canadian students,99.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Humanities [3],Male gender,International students,12.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Humanities [3],Female gender,Canadian students,174.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Humanities [3],Female gender,International students,6.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Humanities [3],Gender unknown,Canadian students,6.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,480.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Male gender,International students,15.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,855.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Female gender,International students,39.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Gender unknown,Canadian students,12.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Social and behavioural sciences and law [4],Gender unknown,International students,3.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,978.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Male gender,International students,36.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,1245.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Female gender,International students,30.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Gender unknown,Canadian students,15.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Business, management and public administration [5]",Gender unknown,International students,0.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,96.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Male gender,International students,6.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,105.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Physical and life sciences and technologies [6],Female gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,270.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,51.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,336.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,30.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Mathematics, computer and information sciences [7]",Gender unknown,Canadian students,6.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,672.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,90.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,240.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,27.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,12.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,54.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,81.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,International students,0.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Health and related fields [10],Male gender,Canadian students,354.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Health and related fields [10],Male gender,International students,9.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Health and related fields [10],Female gender,Canadian students,1182.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Health and related fields [10],Female gender,International students,15.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Health and related fields [10],Gender unknown,Canadian students,9.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Male gender,Canadian students,39.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Male gender,International students,0.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Female gender,Canadian students,33.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,"Personal, protective and transportation services [11]",Female gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Other  [12],Male gender,Canadian students,21.0
2018/2019,Ontario,University,Part-time student,Master's or equivalent,Other  [12],Female gender,Canadian students,39.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Education [1],Male gender,Canadian students,57.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Education [1],Female gender,Canadian students,147.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Education [1],Gender unknown,Canadian students,0.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Male gender,Canadian students,6.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Female gender,Canadian students,9.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Visual and performing arts and communications technologies [2],Female gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Humanities [3],Male gender,Canadian students,60.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Humanities [3],Male gender,International students,9.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Humanities [3],Female gender,Canadian students,75.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Humanities [3],Female gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,Canadian students,126.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Male gender,International students,9.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,Canadian students,225.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Social and behavioural sciences and law [4],Female gender,International students,6.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Male gender,Canadian students,42.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Male gender,International students,6.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Female gender,Canadian students,45.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Business, management and public administration [5]",Female gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,Canadian students,48.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Male gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,Canadian students,33.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Physical and life sciences and technologies [6],Female gender,International students,6.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,Canadian students,45.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Male gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Female gender,Canadian students,18.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Mathematics, computer and information sciences [7]",Female gender,International students,0.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,Canadian students,147.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Male gender,International students,12.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Female gender,Canadian students,33.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Female gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Architecture, engineering and related technologies [8]",Gender unknown,Canadian students,0.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,Canadian students,24.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Male gender,International students,0.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,"Agriculture, natural resources and conservation [9]",Female gender,Canadian students,21.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Male gender,Canadian students,57.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Male gender,International students,6.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Female gender,Canadian students,138.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Health and related fields [10],Female gender,International students,3.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Other  [12],Male gender,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Other  [12],Male gender,International students,0.0
2018/2019,Ontario,University,Part-time student,Doctoral or equivalent,Other  [12],Female gender,Canadian students,6.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Male gender,International students,6.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Personal improvement and leisure [0],Female gender,International students,9.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Male gender,Canadian students,462.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Male gender,International students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Female gender,Canadian students,1509.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Female gender,International students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Education [1],Gender unknown,Canadian students,21.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Visual and performing arts and communications technologies [2],Male gender,Canadian students,3.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Visual and performing arts and communications technologies [2],Female gender,Canadian students,6.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,Canadian students,801.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Male gender,International students,240.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,Canadian students,1404.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Female gender,International students,306.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Gender unknown,Canadian students,45.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Humanities [3],Gender unknown,International students,27.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Male gender,Canadian students,15.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Male gender,International students,0.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Female gender,Canadian students,30.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Female gender,International students,0.0
2018/2019,Ontario,University,Part-time student,"Not applicable, International Standard Classification of Education (ISCED)",Social and behavioural sciences and law [4],Gender unknown,Canadian students,3.0
